gene	monte_carlo_iterations	top10_probability	top20_probability	top30_probability	median_rank	rank_p2_5	rank_p97_5
HLA-DQA1	5000	0.0	0.0	0.0	308.0	83.0	417.0
ALAS2	5000	0.0	0.0	0.0	309.0	144.0	382.0
SDC4	5000	0.0	0.0	0.0	309.0	149.0	405.0
ACSL1	5000	0.0	0.0	0.0	309.0	210.0	377.0
DKK3	5000	0.0	0.0	0.0	311.0	214.0	369.0
IFI6	5000	0.0	0.0	0.0	312.0	181.0	405.0
LILRB2	5000	0.0	0.0	0.0	314.0	192.0	382.0
STRADB	5000	0.0	0.0	0.0	314.0	118.97500000000001	405.0
HLA-DRB1	5000	0.0	0.0	0.0	316.0	87.0	418.0
GLRX5	5000	0.0	0.0	0.0	320.0	157.0	389.0
S100A13	5000	0.0	0.0	0.0	320.0	249.0	361.0
IGFBP6	5000	0.0	0.0	0.0	321.0	217.0	364.0
LDLRAD4	5000	0.0	0.0	0.0	322.0	138.97500000000002	388.0
APLP2	5000	0.0	0.0	0.0	322.0	222.0	383.0
TMSB10	5000	0.0	0.0	0.0	322.0	132.97500000000002	419.0
TPT1	5000	0.0	0.0	0.0	322.0	207.0	402.0
ANK3	5000	0.0	0.0	0.0	323.0	148.0	417.0
IL2RG	5000	0.0	0.0	0.0	323.0	243.0	368.0
LPA	5000	0.0	0.0	0.0	325.0	246.0	402.0
S100A9	5000	0.0	0.0	0.0	326.0	111.0	399.0
FCN1	5000	0.0	0.0	0.0	328.0	172.0	388.0
CYBB	5000	0.0	0.0	0.0	328.0	180.0	398.0
JCHAIN	5000	0.0	0.0	0.0	329.0	170.0	383.0
CCL3L1	5000	0.0	0.0	0.0	330.0	249.0	365.0
SERF2	5000	0.0	0.0	0.0	330.0	127.0	406.0
JAML	5000	0.0	0.0	0.0	335.0	228.0	388.0
FBXO7	5000	0.0	0.0	0.0	336.0	180.97500000000002	397.0
CYTOR	5000	0.0	0.0	0.0	337.0	97.0	406.0
SAMHD1	5000	0.0	0.0	0.0	337.0	164.0	403.0
NGF	5000	0.0	0.0	0.0	338.0	157.0	412.0
SLC4A1	5000	0.0	0.0	0.0	340.0	161.0	403.0
GUCY1B1	5000	0.0	0.0	0.0	340.0	188.0	415.0
A2M	5000	0.0	0.0	0.0	341.0	118.0	406.0
FOLR2	5000	0.0	0.0	0.0	342.0	191.0	398.02499999999964
FHL1	5000	0.0	0.0	0.0	347.0	239.0	391.0
SORT1	5000	0.0	0.0	0.0	347.0	135.0	418.0
SERPINA1	5000	0.0	0.0	0.0	349.0	282.0	378.0
TIMP1	5000	0.0	0.0	0.0	351.0	92.97500000000001	416.0
GPR34	5000	0.0	0.0	0.0	352.0	157.0	403.0
MAF	5000	0.0	0.0	0.0	354.0	198.0	398.0
HIGD1B	5000	0.0	0.0	0.0	355.0	194.0	411.0
S100A4	5000	0.0	0.0	0.0	356.0	158.0	411.0
S100A6	5000	0.0	0.0	0.0	356.0	235.0	417.0
HLA-DQB1	5000	0.0	0.0	0.0	357.5	143.0	423.0
RAMP2	5000	0.0	0.0	0.0	358.0	233.0	398.0
PCOLCE	5000	0.0	0.0	0.0	358.0	293.0	382.0
CSF2RA	5000	0.0	0.0	0.0	358.0	271.975	392.0
VSIG4	5000	0.0	0.0	0.0	359.0	247.0	391.0
PTMA	5000	0.0	0.0	0.0	359.0	105.0	420.0
TPI1	5000	0.0	0.0	0.0	359.0	121.0	420.0
HIF1A	5000	0.0	0.0	0.0	360.0	216.0	406.0
FCGR3A	5000	0.0	0.0	0.0	360.0	248.0	394.0
CCL3	5000	0.0	0.0	0.0	361.0	208.0	406.0
RNASE1	5000	0.0	0.0	0.0	361.0	238.0	399.0
CNN3	5000	0.0	0.0	0.0	361.0	262.0	396.0
