gene	universe_source	reconstruction_status
GAPDH	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
GLRX5	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
GLUL	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
GNG11	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
GPNMB	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
GPR183	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
GPR34	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
GPX1	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
GPX3	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
GRB10	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
GRN	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
GUCY1A1	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
GUCY1B1	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
GYPC	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
GZMA	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
HAMP	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
HERPUD1	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
HIF1A	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
HIGD1B	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
HIP1	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
HLA-DMA	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
HLA-DMB	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
HLA-DPA1	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
HLA-DPB1	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
HLA-DQA1	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
HLA-DQA2	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
HLA-DQB1	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
HLA-DRA	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
HLA-DRB1	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
HLA-DRB5	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
HLA-DRB6	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
HMBS	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
HMOX1	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
HSPG2	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
ID3	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
IER3	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
IFI27	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
IFI6	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
IFITM3	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
IGFBP6	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
IGFBP7	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
IGKC	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
IGSF6	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
IL2RG	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
IL32	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
IL33	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
INSR	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
ISLR	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
ITGA2	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
ITGB2	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
ITGBL1	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
ITM2A	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
ITM2B	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
JAML	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
JCHAIN	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
KCTD12	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
KLF1	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
KLKB1	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
KNG1	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
LAPTM5	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
LCK	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
LCP1	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
LDB2	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
LDLR	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
LDLRAD4	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
LGALS3	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
LGMN	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
LHFPL6	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
LILRB2	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
LIPA	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
LPA	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
LPAR6	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
LRP2	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
LSP1	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
LST1	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
LTBP1	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
LUM	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
LUZP2	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
LYZ	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
MAF	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
MAGI1	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
MAML2	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
MANBA	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
